2018-11-08 16:02:57 INFO  Crawler:218 - ============== Start Crawler =============
2018-11-08 16:02:57 INFO  Crawler:219 - CONFIG FILE    : ./config/config_domeggook.json
2018-11-08 16:02:57 INFO  Crawler:223 - CRAWLER NAME   : domeggook
2018-11-08 16:02:57 INFO  Crawler:224 - CRAWLER TYPE   : SCENARIO_DYNAMIC
2018-11-08 16:02:57 INFO  Crawler:225 - CRAWLER DELAY  : 3 sec
2018-11-08 16:02:57 INFO  Crawler:226 - IGNORE ROBOTS  : true
2018-11-08 16:02:57 INFO  Crawler:227 - LIMIT_COUNT    : -1
2018-11-08 16:02:57 INFO  Crawler:228 - FILTER COUNT   : 0
2018-11-08 16:02:57 INFO  Crawler:232 - SCENARIO COUNT : 2
2018-11-08 16:02:57 INFO  Crawler:233 - COLLECT COUNT  : 1
2018-11-08 16:02:57 INFO  Crawler:234 - SAVE TYPE      : DB
2018-11-08 16:02:57 INFO  Crawler:235 - SAVE HTML      : true
2018-11-08 16:02:57 INFO  Crawler:236 - ==========================================
2018-11-08 16:03:12 INFO  Crawler:266 - [Progress 1] save : 0, err : 0, remain_work : 2, total : 3
2018-11-08 16:03:15 INFO  Crawler:266 - [Progress 2] save : 0, err : 0, remain_work : 53, total : 55
2018-11-08 16:03:18 INFO  Crawler:266 - [Progress 3] save : 0, err : 0, remain_work : 55, total : 58
2018-11-08 16:03:21 INFO  Crawler:266 - [Progress 4] save : 0, err : 0, remain_work : 54, total : 58
2018-11-08 16:03:25 INFO  Crawler:266 - [Progress 5] save : 1, err : 0, remain_work : 53, total : 58
2018-11-08 16:03:29 INFO  Crawler:266 - [Progress 6] save : 1, err : 0, remain_work : 52, total : 58
2018-11-08 16:03:32 INFO  Crawler:266 - [Progress 7] save : 1, err : 0, remain_work : 54, total : 61
2018-11-08 16:03:35 INFO  Crawler:266 - [Progress 8] save : 1, err : 0, remain_work : 53, total : 61
2018-11-08 16:03:39 INFO  Crawler:266 - [Progress 9] save : 2, err : 0, remain_work : 52, total : 61
2018-11-08 16:03:42 INFO  Crawler:266 - [Progress 10] save : 2, err : 0, remain_work : 51, total : 61
2018-11-08 16:03:45 INFO  Crawler:266 - [Progress 11] save : 2, err : 0, remain_work : 53, total : 64
2018-11-08 16:03:48 INFO  Crawler:266 - [Progress 12] save : 2, err : 0, remain_work : 52, total : 64
2018-11-08 16:03:53 INFO  Crawler:266 - [Progress 13] save : 3, err : 0, remain_work : 51, total : 64
2018-11-08 16:03:56 INFO  Crawler:266 - [Progress 14] save : 3, err : 0, remain_work : 50, total : 64
2018-11-08 16:03:59 INFO  Crawler:266 - [Progress 15] save : 3, err : 0, remain_work : 52, total : 67
2018-11-08 16:04:02 INFO  Crawler:266 - [Progress 16] save : 3, err : 0, remain_work : 51, total : 67
2018-11-08 16:04:06 INFO  Crawler:266 - [Progress 17] save : 4, err : 0, remain_work : 50, total : 67
2018-11-08 16:04:09 INFO  Crawler:266 - [Progress 18] save : 4, err : 0, remain_work : 49, total : 67
2018-11-08 16:04:13 INFO  Crawler:266 - [Progress 19] save : 4, err : 0, remain_work : 51, total : 70
2018-11-08 16:04:16 INFO  Crawler:266 - [Progress 20] save : 4, err : 0, remain_work : 50, total : 70
2018-11-08 16:04:20 INFO  Crawler:266 - [Progress 21] save : 5, err : 0, remain_work : 49, total : 70
2018-11-08 16:04:23 INFO  Crawler:266 - [Progress 22] save : 5, err : 0, remain_work : 48, total : 70
2018-11-08 16:04:26 INFO  Crawler:266 - [Progress 23] save : 5, err : 0, remain_work : 50, total : 73
2018-11-08 16:04:29 INFO  Crawler:266 - [Progress 24] save : 5, err : 0, remain_work : 49, total : 73
2018-11-08 16:04:33 INFO  Crawler:266 - [Progress 25] save : 6, err : 0, remain_work : 48, total : 73
2018-11-08 16:04:36 INFO  Crawler:266 - [Progress 26] save : 6, err : 0, remain_work : 47, total : 73
2018-11-08 16:04:40 INFO  Crawler:266 - [Progress 27] save : 6, err : 0, remain_work : 49, total : 76
2018-11-08 16:04:43 INFO  Crawler:266 - [Progress 28] save : 6, err : 0, remain_work : 48, total : 76
2018-11-08 16:04:47 INFO  Crawler:266 - [Progress 29] save : 7, err : 0, remain_work : 47, total : 76
2018-11-08 16:04:50 INFO  Crawler:266 - [Progress 30] save : 7, err : 0, remain_work : 46, total : 76
2018-11-08 16:04:53 INFO  Crawler:266 - [Progress 31] save : 7, err : 0, remain_work : 48, total : 79
2018-11-08 16:04:56 INFO  Crawler:266 - [Progress 32] save : 7, err : 0, remain_work : 47, total : 79
2018-11-08 16:05:01 INFO  Crawler:266 - [Progress 33] save : 8, err : 0, remain_work : 46, total : 79
2018-11-08 16:05:04 INFO  Crawler:266 - [Progress 34] save : 8, err : 0, remain_work : 45, total : 79
2018-11-08 16:05:07 INFO  Crawler:266 - [Progress 35] save : 8, err : 0, remain_work : 47, total : 82
2018-11-08 16:05:10 INFO  Crawler:266 - [Progress 36] save : 8, err : 0, remain_work : 46, total : 82
2018-11-08 16:05:14 INFO  Crawler:266 - [Progress 37] save : 9, err : 0, remain_work : 45, total : 82
2018-11-08 16:05:17 INFO  Crawler:266 - [Progress 38] save : 9, err : 0, remain_work : 44, total : 82
2018-11-08 16:05:21 INFO  Crawler:266 - [Progress 39] save : 9, err : 0, remain_work : 46, total : 85
2018-11-08 16:05:24 INFO  Crawler:266 - [Progress 40] save : 9, err : 0, remain_work : 45, total : 85
2018-11-08 16:05:28 INFO  Crawler:266 - [Progress 41] save : 10, err : 0, remain_work : 44, total : 85
2018-11-08 16:05:31 INFO  Crawler:266 - [Progress 42] save : 10, err : 0, remain_work : 43, total : 85
2018-11-08 16:05:34 INFO  Crawler:266 - [Progress 43] save : 10, err : 0, remain_work : 45, total : 88
2018-11-08 16:05:37 INFO  Crawler:266 - [Progress 44] save : 10, err : 0, remain_work : 44, total : 88
2018-11-08 16:05:41 INFO  Crawler:266 - [Progress 45] save : 11, err : 0, remain_work : 43, total : 88
2018-11-08 16:05:44 INFO  Crawler:266 - [Progress 46] save : 11, err : 0, remain_work : 42, total : 88
2018-11-08 16:05:48 INFO  Crawler:266 - [Progress 47] save : 11, err : 0, remain_work : 44, total : 91
2018-11-08 16:05:51 INFO  Crawler:266 - [Progress 48] save : 11, err : 0, remain_work : 43, total : 91
2018-11-08 16:05:55 INFO  Crawler:266 - [Progress 49] save : 12, err : 0, remain_work : 42, total : 91
2018-11-08 16:05:58 INFO  Crawler:266 - [Progress 50] save : 12, err : 0, remain_work : 41, total : 91
2018-11-08 16:06:01 INFO  Crawler:266 - [Progress 51] save : 12, err : 0, remain_work : 43, total : 94
2018-11-08 16:06:04 INFO  Crawler:266 - [Progress 52] save : 12, err : 0, remain_work : 42, total : 94
2018-11-08 16:06:09 INFO  Crawler:266 - [Progress 53] save : 13, err : 0, remain_work : 41, total : 94
2018-11-08 16:06:12 INFO  Crawler:266 - [Progress 54] save : 13, err : 0, remain_work : 40, total : 94
2018-11-08 16:06:15 INFO  Crawler:266 - [Progress 55] save : 13, err : 0, remain_work : 42, total : 97
2018-11-08 16:06:18 INFO  Crawler:266 - [Progress 56] save : 13, err : 0, remain_work : 41, total : 97
2018-11-08 16:06:22 INFO  Crawler:266 - [Progress 57] save : 14, err : 0, remain_work : 40, total : 97
2018-11-08 16:06:25 INFO  Crawler:266 - [Progress 58] save : 14, err : 0, remain_work : 39, total : 97
2018-11-08 16:06:28 INFO  Crawler:266 - [Progress 59] save : 14, err : 0, remain_work : 41, total : 100
2018-11-08 16:06:32 INFO  Crawler:266 - [Progress 60] save : 14, err : 0, remain_work : 40, total : 100
2018-11-08 16:06:36 INFO  Crawler:266 - [Progress 61] save : 15, err : 0, remain_work : 39, total : 100
2018-11-08 16:06:39 INFO  Crawler:266 - [Progress 62] save : 15, err : 0, remain_work : 38, total : 100
2018-11-08 16:06:42 INFO  Crawler:266 - [Progress 63] save : 15, err : 0, remain_work : 40, total : 103
2018-11-08 16:06:45 INFO  Crawler:266 - [Progress 64] save : 15, err : 0, remain_work : 39, total : 103
2018-11-08 16:06:49 INFO  Crawler:266 - [Progress 65] save : 16, err : 0, remain_work : 38, total : 103
2018-11-08 16:06:52 INFO  Crawler:266 - [Progress 66] save : 16, err : 0, remain_work : 37, total : 103
2018-11-08 16:06:56 INFO  Crawler:266 - [Progress 67] save : 16, err : 0, remain_work : 39, total : 106
2018-11-08 16:06:59 INFO  Crawler:266 - [Progress 68] save : 16, err : 0, remain_work : 38, total : 106
2018-11-08 16:07:03 INFO  Crawler:266 - [Progress 69] save : 17, err : 0, remain_work : 37, total : 106
2018-11-08 16:07:06 INFO  Crawler:266 - [Progress 70] save : 17, err : 0, remain_work : 36, total : 106
2018-11-08 16:07:09 INFO  Crawler:266 - [Progress 71] save : 17, err : 0, remain_work : 38, total : 109
2018-11-08 16:07:12 INFO  Crawler:266 - [Progress 72] save : 17, err : 0, remain_work : 37, total : 109
2018-11-08 16:07:16 INFO  Crawler:266 - [Progress 73] save : 18, err : 0, remain_work : 36, total : 109
2018-11-08 16:07:19 INFO  Crawler:266 - [Progress 74] save : 18, err : 0, remain_work : 35, total : 109
2018-11-08 16:07:28 INFO  Crawler:266 - [Progress 75] save : 18, err : 0, remain_work : 37, total : 112
2018-11-08 16:07:31 INFO  Crawler:266 - [Progress 76] save : 18, err : 0, remain_work : 36, total : 112
2018-11-08 16:07:35 INFO  Crawler:266 - [Progress 77] save : 19, err : 0, remain_work : 35, total : 112
2018-11-08 16:07:38 INFO  Crawler:266 - [Progress 78] save : 19, err : 0, remain_work : 34, total : 112
2018-11-08 16:07:41 INFO  Crawler:266 - [Progress 79] save : 19, err : 0, remain_work : 36, total : 115
2018-11-08 16:07:44 INFO  Crawler:266 - [Progress 80] save : 19, err : 0, remain_work : 35, total : 115
2018-11-08 16:07:48 INFO  Crawler:266 - [Progress 81] save : 20, err : 0, remain_work : 34, total : 115
2018-11-08 16:07:52 INFO  Crawler:266 - [Progress 82] save : 20, err : 0, remain_work : 33, total : 115
2018-11-08 16:07:55 INFO  Crawler:266 - [Progress 83] save : 20, err : 0, remain_work : 35, total : 118
2018-11-08 16:07:58 INFO  Crawler:266 - [Progress 84] save : 20, err : 0, remain_work : 34, total : 118
2018-11-08 16:08:02 INFO  Crawler:266 - [Progress 85] save : 21, err : 0, remain_work : 33, total : 118
2018-11-08 16:08:05 INFO  Crawler:266 - [Progress 86] save : 21, err : 0, remain_work : 32, total : 118
2018-11-08 16:08:08 INFO  Crawler:266 - [Progress 87] save : 21, err : 0, remain_work : 34, total : 121
2018-11-08 16:08:11 INFO  Crawler:266 - [Progress 88] save : 21, err : 0, remain_work : 33, total : 121
2018-11-08 16:08:16 INFO  Crawler:266 - [Progress 89] save : 22, err : 0, remain_work : 32, total : 121
2018-11-08 16:08:19 INFO  Crawler:266 - [Progress 90] save : 22, err : 0, remain_work : 31, total : 121
2018-11-08 16:08:22 INFO  Crawler:266 - [Progress 91] save : 22, err : 0, remain_work : 33, total : 124
