2018-11-05 18:45:46 INFO  Crawler:218 - ============== Start Crawler =============
2018-11-05 18:45:46 INFO  Crawler:219 - CONFIG FILE    : ./config/config_naver_news.json
2018-11-05 18:45:46 INFO  Crawler:223 - CRAWLER NAME   : naver_news
2018-11-05 18:45:46 INFO  Crawler:224 - CRAWLER TYPE   : SCENARIO_STATIC
2018-11-05 18:45:46 INFO  Crawler:225 - CRAWLER DELAY  : 1 sec
2018-11-05 18:45:46 INFO  Crawler:226 - IGNORE ROBOTS  : true
2018-11-05 18:45:46 INFO  Crawler:227 - LIMIT_COUNT    : -1
2018-11-05 18:45:46 INFO  Crawler:228 - FILTER COUNT   : 0
2018-11-05 18:45:46 INFO  Crawler:232 - SCENARIO COUNT : 3
2018-11-05 18:45:46 INFO  Crawler:233 - COLLECT COUNT  : 1
2018-11-05 18:45:46 INFO  Crawler:234 - SAVE TYPE      : DB
2018-11-05 18:45:46 INFO  Crawler:235 - SAVE HTML      : false
2018-11-05 18:45:46 INFO  Crawler:236 - ==========================================
2018-11-05 18:45:48 INFO  Crawler:265 - [Progress 1] save : 0, err : 0, remain_work : 52, total : 53
2018-11-05 18:45:50 INFO  Crawler:265 - [Progress 2] save : 1, err : 0, remain_work : 51, total : 53
2018-11-05 18:45:51 INFO  Crawler:265 - [Progress 3] save : 1, err : 0, remain_work : 50, total : 53
2018-11-05 18:45:52 INFO  Crawler:265 - [Progress 4] save : 1, err : 0, remain_work : 49, total : 53
2018-11-05 18:45:53 INFO  Crawler:265 - [Progress 5] save : 1, err : 0, remain_work : 48, total : 53
2018-11-05 18:45:54 INFO  Crawler:265 - [Progress 6] save : 1, err : 0, remain_work : 47, total : 53
2018-11-05 18:45:55 INFO  Crawler:265 - [Progress 7] save : 1, err : 0, remain_work : 46, total : 53
2018-11-05 18:45:56 INFO  Crawler:265 - [Progress 8] save : 1, err : 0, remain_work : 45, total : 53
2018-11-05 18:45:57 INFO  Crawler:265 - [Progress 9] save : 1, err : 0, remain_work : 44, total : 53
2018-11-05 18:45:58 INFO  Crawler:265 - [Progress 10] save : 1, err : 0, remain_work : 43, total : 53
2018-11-05 18:45:59 INFO  Crawler:265 - [Progress 11] save : 1, err : 0, remain_work : 42, total : 53
2018-11-05 18:46:01 INFO  Crawler:265 - [Progress 12] save : 1, err : 0, remain_work : 41, total : 53
2018-11-05 18:46:02 INFO  Crawler:265 - [Progress 13] save : 1, err : 0, remain_work : 40, total : 53
2018-11-05 18:46:03 INFO  Crawler:265 - [Progress 14] save : 2, err : 0, remain_work : 39, total : 53
2018-11-05 18:46:04 INFO  Crawler:265 - [Progress 15] save : 2, err : 0, remain_work : 38, total : 53
2018-11-05 18:46:05 INFO  Crawler:265 - [Progress 16] save : 2, err : 0, remain_work : 37, total : 53
2018-11-05 18:46:07 INFO  Crawler:265 - [Progress 17] save : 2, err : 0, remain_work : 36, total : 53
2018-11-05 18:46:08 INFO  Crawler:265 - [Progress 18] save : 2, err : 0, remain_work : 35, total : 53
2018-11-05 18:46:09 INFO  Crawler:265 - [Progress 19] save : 2, err : 0, remain_work : 34, total : 53
2018-11-05 18:46:10 INFO  Crawler:265 - [Progress 20] save : 3, err : 0, remain_work : 33, total : 53
2018-11-05 18:46:11 INFO  Crawler:265 - [Progress 21] save : 3, err : 0, remain_work : 32, total : 53
