2018-11-05 20:20:55 INFO  Crawler:218 - ============== Start Crawler =============
2018-11-05 20:20:55 INFO  Crawler:219 - CONFIG FILE    : ./config/config_naver_news.json
2018-11-05 20:20:55 INFO  Crawler:223 - CRAWLER NAME   : naver_news
2018-11-05 20:20:55 INFO  Crawler:224 - CRAWLER TYPE   : SCENARIO_STATIC
2018-11-05 20:20:55 INFO  Crawler:225 - CRAWLER DELAY  : 3 sec
2018-11-05 20:20:55 INFO  Crawler:226 - IGNORE ROBOTS  : true
2018-11-05 20:20:55 INFO  Crawler:227 - LIMIT_COUNT    : -1
2018-11-05 20:20:55 INFO  Crawler:228 - FILTER COUNT   : 0
2018-11-05 20:20:55 INFO  Crawler:232 - SCENARIO COUNT : 4
2018-11-05 20:20:55 INFO  Crawler:233 - COLLECT COUNT  : 1
2018-11-05 20:20:55 INFO  Crawler:234 - SAVE TYPE      : DB
2018-11-05 20:20:55 INFO  Crawler:235 - SAVE HTML      : false
2018-11-05 20:20:55 INFO  Crawler:236 - ==========================================
2018-11-05 20:21:00 ERROR Crawler:258 - [ERR URL] https://news.naver.com/main/list.nhn?mode=LPOD&date=20181105&mid=sec&oid=138&listType=title
2018-11-05 20:21:00 ERROR Crawler:261 - L ERR_SCEN_ELEMENT : #main_content > div.paging > a
2018-11-05 20:21:00 INFO  Crawler:265 - [Progress 1] save : 0, err : 1, remain_work : 52, total : 53
2018-11-05 20:21:03 INFO  Crawler:265 - [Progress 2] save : 1, err : 1, remain_work : 51, total : 53
2018-11-05 20:21:06 INFO  Crawler:265 - [Progress 3] save : 1, err : 1, remain_work : 50, total : 53
2018-11-05 20:21:09 INFO  Crawler:265 - [Progress 4] save : 1, err : 1, remain_work : 49, total : 53
2018-11-05 20:21:12 INFO  Crawler:265 - [Progress 5] save : 1, err : 1, remain_work : 48, total : 53
2018-11-05 20:21:15 INFO  Crawler:265 - [Progress 6] save : 1, err : 1, remain_work : 47, total : 53
2018-11-05 20:21:18 INFO  Crawler:265 - [Progress 7] save : 1, err : 1, remain_work : 46, total : 53
2018-11-05 20:21:21 INFO  Crawler:265 - [Progress 8] save : 1, err : 1, remain_work : 45, total : 53
2018-11-05 20:21:24 INFO  Crawler:265 - [Progress 9] save : 1, err : 1, remain_work : 44, total : 53
2018-11-05 20:21:27 INFO  Crawler:265 - [Progress 10] save : 1, err : 1, remain_work : 43, total : 53
2018-11-05 20:21:31 INFO  Crawler:265 - [Progress 11] save : 1, err : 1, remain_work : 42, total : 53
2018-11-05 20:21:34 INFO  Crawler:265 - [Progress 12] save : 1, err : 1, remain_work : 41, total : 53
2018-11-05 20:21:37 INFO  Crawler:265 - [Progress 13] save : 1, err : 1, remain_work : 40, total : 53
2018-11-05 20:21:40 INFO  Crawler:265 - [Progress 14] save : 2, err : 1, remain_work : 39, total : 53
2018-11-05 20:21:43 INFO  Crawler:265 - [Progress 15] save : 2, err : 1, remain_work : 38, total : 53
2018-11-05 20:21:46 INFO  Crawler:265 - [Progress 16] save : 2, err : 1, remain_work : 37, total : 53
2018-11-05 20:21:49 INFO  Crawler:265 - [Progress 17] save : 2, err : 1, remain_work : 36, total : 53
2018-11-05 20:21:52 INFO  Crawler:265 - [Progress 18] save : 2, err : 1, remain_work : 35, total : 53
2018-11-05 20:21:55 INFO  Crawler:265 - [Progress 19] save : 2, err : 1, remain_work : 34, total : 53
2018-11-05 20:21:58 INFO  Crawler:265 - [Progress 20] save : 3, err : 1, remain_work : 33, total : 53
2018-11-05 20:22:01 INFO  Crawler:265 - [Progress 21] save : 3, err : 1, remain_work : 32, total : 53
2018-11-05 20:22:05 INFO  Crawler:265 - [Progress 22] save : 4, err : 1, remain_work : 31, total : 53
2018-11-05 20:22:08 INFO  Crawler:265 - [Progress 23] save : 4, err : 1, remain_work : 30, total : 53
2018-11-05 20:22:11 INFO  Crawler:265 - [Progress 24] save : 4, err : 1, remain_work : 29, total : 53
2018-11-05 20:22:14 INFO  Crawler:265 - [Progress 25] save : 5, err : 1, remain_work : 28, total : 53
2018-11-05 20:22:17 INFO  Crawler:265 - [Progress 26] save : 5, err : 1, remain_work : 27, total : 53
2018-11-05 20:22:20 INFO  Crawler:265 - [Progress 27] save : 6, err : 1, remain_work : 26, total : 53
2018-11-05 20:22:23 INFO  Crawler:265 - [Progress 28] save : 7, err : 1, remain_work : 25, total : 53
2018-11-05 20:22:26 INFO  Crawler:265 - [Progress 29] save : 7, err : 1, remain_work : 24, total : 53
2018-11-05 20:22:29 INFO  Crawler:265 - [Progress 30] save : 7, err : 1, remain_work : 23, total : 53
2018-11-05 20:22:32 INFO  Crawler:265 - [Progress 31] save : 7, err : 1, remain_work : 22, total : 53
2018-11-05 20:22:36 INFO  Crawler:265 - [Progress 32] save : 7, err : 1, remain_work : 21, total : 53
2018-11-05 20:22:39 INFO  Crawler:265 - [Progress 33] save : 7, err : 1, remain_work : 20, total : 53
2018-11-05 20:22:42 INFO  Crawler:265 - [Progress 34] save : 8, err : 1, remain_work : 19, total : 53
2018-11-05 20:22:45 INFO  Crawler:265 - [Progress 35] save : 9, err : 1, remain_work : 18, total : 53
2018-11-05 20:22:48 INFO  Crawler:265 - [Progress 36] save : 9, err : 1, remain_work : 17, total : 53
2018-11-05 20:22:51 INFO  Crawler:265 - [Progress 37] save : 9, err : 1, remain_work : 16, total : 53
2018-11-05 20:22:54 INFO  Crawler:265 - [Progress 38] save : 10, err : 1, remain_work : 15, total : 53
2018-11-05 20:22:57 INFO  Crawler:265 - [Progress 39] save : 11, err : 1, remain_work : 14, total : 53
2018-11-05 20:23:00 INFO  Crawler:265 - [Progress 40] save : 12, err : 1, remain_work : 13, total : 53
2018-11-05 20:23:03 INFO  Crawler:265 - [Progress 41] save : 12, err : 1, remain_work : 12, total : 53
2018-11-05 20:23:06 INFO  Crawler:265 - [Progress 42] save : 12, err : 1, remain_work : 11, total : 53
2018-11-05 20:23:10 INFO  Crawler:265 - [Progress 43] save : 13, err : 1, remain_work : 10, total : 53
2018-11-05 20:23:13 INFO  Crawler:265 - [Progress 44] save : 13, err : 1, remain_work : 9, total : 53
2018-11-05 20:23:16 INFO  Crawler:265 - [Progress 45] save : 13, err : 1, remain_work : 8, total : 53
2018-11-05 20:23:19 INFO  Crawler:265 - [Progress 46] save : 14, err : 1, remain_work : 7, total : 53
2018-11-05 20:23:22 INFO  Crawler:265 - [Progress 47] save : 14, err : 1, remain_work : 6, total : 53
2018-11-05 20:23:25 INFO  Crawler:265 - [Progress 48] save : 14, err : 1, remain_work : 5, total : 53
2018-11-05 20:23:28 INFO  Crawler:265 - [Progress 49] save : 14, err : 1, remain_work : 4, total : 53
2018-11-05 20:23:31 INFO  Crawler:265 - [Progress 50] save : 14, err : 1, remain_work : 3, total : 53
2018-11-05 20:23:34 INFO  Crawler:265 - [Progress 51] save : 14, err : 1, remain_work : 2, total : 53
2018-11-05 20:23:37 ERROR Crawler:258 - [ERR URL] https://news.naver.com//main/list.nhn?mode=LPOD&date=20181104&mid=sec&oid=138&listType=title
2018-11-05 20:23:37 ERROR Crawler:261 - L ERR_SCEN_ELEMENT : #main_content > div.paging > a
2018-11-05 20:23:37 INFO  Crawler:265 - [Progress 52] save : 14, err : 2, remain_work : 51, total : 103
2018-11-05 20:23:41 ERROR Crawler:258 - [ERR URL] https://news.naver.com//main/list.nhn?mode=LPOD&date=20181103&mid=sec&oid=138&listType=title
2018-11-05 20:23:41 ERROR Crawler:261 - L ERR_SCEN_ELEMENT : #main_content > div.paging > a
2018-11-05 20:23:41 INFO  Crawler:265 - [Progress 53] save : 14, err : 3, remain_work : 101, total : 154
2018-11-05 20:23:44 INFO  Crawler:265 - [Progress 54] save : 15, err : 3, remain_work : 100, total : 154
2018-11-05 20:23:47 INFO  Crawler:265 - [Progress 55] save : 16, err : 3, remain_work : 99, total : 154
2018-11-05 20:23:50 INFO  Crawler:265 - [Progress 56] save : 17, err : 3, remain_work : 98, total : 154
2018-11-05 20:23:53 INFO  Crawler:265 - [Progress 57] save : 17, err : 3, remain_work : 97, total : 154
2018-11-05 20:23:56 INFO  Crawler:265 - [Progress 58] save : 17, err : 3, remain_work : 96, total : 154
2018-11-05 20:23:59 INFO  Crawler:265 - [Progress 59] save : 18, err : 3, remain_work : 95, total : 154
