"collected_time","url","title","category","author","date","description"
"2018-08-23 16:51:11","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=409&page=1","사랑합니다 - 효도 마이너 갤러리","효도","갓스피드","2018-07-11 08:30:59","모두."
"2018-08-23 16:51:11","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=489&page=1","ㆍ - 효도 마이너 갤러리","효도","ㅇㅇ","2018-08-22 15:39:44","ㆍ"
"2018-08-23 16:51:12","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=488&page=1","ㄷㅇ - 효도 마이너 갤러리","효도","ㅇㅇ","2018-08-22 01:21:43","ㄱㅅ"
"2018-08-23 16:51:13","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=487&page=1","ㅋ - 효도 마이너 갤러리","효도","ㅇㅇ","2018-08-22 01:21:01","ㄱ"
"2018-08-23 16:51:13","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=486&page=1","우리 모두의 부모님 - 효도 마이너 갤러리","효도","ㅇㅇ","2018-08-21 20:19:25","노무현"
"2018-08-23 16:51:14","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=485&page=1","S - 효도 마이너 갤러리","효도","나두조아","2018-08-17 17:36:10","https://www.youtube.com/watch?v=yRdSOBnVNXs - ♡"
"2018-08-23 16:51:14","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=482&page=1","엄마때리기 vs 아빠때리기 - 효도 마이너 갤러리","효도","크","2018-08-16 18:19:49","둘다 잘못은 똑같음 한명때려야되는데 누구때릴까??"
"2018-08-23 16:51:14","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=481&page=1","님들도 효도 ㅆㄱㄴ - 효도 마이너 갤러리","효도","Lightcyanine","2018-08-15 20:24:27","보험금 효도 하싈 - dc official App"
"2018-08-23 16:51:15","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=479&page=1","효도 - 효도 마이너 갤러리","효도","ㅇㅇ","2018-08-15 12:05:45","르"
"2018-08-23 16:51:15","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=475&page=1","효도하는법 - 효도 마이너 갤러리","효도","하츠카리","2018-08-13 12:51:08","아시죠..?"
"2018-08-23 16:51:16","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=474&page=1","Tl 이 qkf 애비 세 Rl  때문에 인생이 망햇다 - 효도 마이너 갤러리","효도","ㅁㄴㅇ","2018-08-13 11:54:46","Tㅣ 이발 애qㅣ 년 진짜 ㅈ같은세키때문에 성격 개망치고 씨2발 ㅈ같은거 진짜 같이 있을때마다 거부감들고 ㅈ같네"
"2018-08-23 16:51:16","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=417&page=1","── - 효도 마이너 갤러리","효도","ㅇㅇ","2018-07-26 09:49:16","──"
"2018-08-23 16:51:17","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=415&page=1","내가 페미들만 다 죽으면 효도를 할 수가 있는데 개년들때문에 그렇지 못함 - 효도 마이너 갤러리","효도","ㅇㅇ","2018-07-22 22:35:03","지금 당장이라도 생각이 있으면 정부는 혜화역으로 가서 반정부 시위를 탄압해야 한다 "
"2018-08-23 16:51:17","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=414&page=1","ㄴㄹㅇ - 효도 마이너 갤러리","효도","나두조아","2018-07-22 19:44:10","https://www.youtube.com/watch?v=zlpWq9ipgXY https://www.youtube.com/watch?v=B4ixlWxnwvw https://www.youtube.com/watch?v=RROKRbBlazI - dc official App"
"2018-08-23 16:51:17","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=413&page=1","ㅇ - 효도 마이너 갤러리","효도","설레여와","2018-07-19 00:23:01","https://www.youtube.com/watch?v=pHtxTSiPh5I - dc official App"
"2018-08-23 16:51:18","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=410&page=1","ㅇ - 효도 마이너 갤러리","효도","개존못한남","2018-07-13 14:26:29","ㅇ https://www.youtube.com/watch?v=PmWRIdz3F1M https://www.youtube.com/watch?v=b3BvAu_pasA https://www.youtube.com/watch?v=0WQ78mAN4Do - dc official App"
"2018-08-23 16:51:18","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=408&page=1","ㅈㅂㅎ - 효도 마이너 갤러리","효도","설레여와","2018-07-07 15:03:07","https://www.youtube.com/watch?v=BxKSbSOHwWg - dc official App"
"2018-08-23 16:51:18","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=407&page=1","ㅇ - 효도 마이너 갤러리","효도","설레여와","2018-07-06 14:55:36","https://www.youtube.com/watch?v=Y0RgW6pvIwo https://www.youtube.com/watch?v=bXl9WhQkfic https://www.youtube.com/watch?v=AoZFLCy-P-8 https://www.youtube.com/watch?v=6uJf2IT2Zh8 - dc official App"
"2018-08-23 16:51:19","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=403&page=1","ㅇ - 효도 마이너 갤러리","효도","6.9","2018-06-30 12:05:08","ㅇ https://www.youtube.com/watch?v=ATn3qXsx08U https://www.youtube.com/watch?v=ibBW9Tml95A https://www.youtube.com/watch?v=nCqkT8M24Ic - dc official App"
"2018-08-23 16:51:19","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=402&page=1","파 - 효도 마이너 갤러리","효도","696.96","2018-06-27 01:13:12","https://www.youtube.com/watch?v=0BsLd4Y060Q https://www.youtube.com/watch?v=_sYgjxhk2Ps https://www.youtube.com/watch?v=uyePXiW-cpo https://www.youtube.com/watch?v=T42OgnIUrAI https://www.youtube.com/watch?v=Hs3SplgJ1ME https://www.youtube.com/watch?v=kvsgz_3vEC4 - dc official App"
"2018-08-23 16:51:19","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=400&page=1","afaf - 효도 마이너 갤러리","효도","ㄹㄴㅇㅇㄹㄴ","2018-06-25 15:17:02","https://www.facebook.com/profile.php?id=100025336868501&ref=pymk&fref=pymk"
"2018-08-23 16:51:20","http://gall.dcinside.com/mgallery/board/view/?id=momlover&no=396&page=1","바디프렌드 안마의자 리퍼 괜찮냐? - 효도 마이너 갤러리","효도","아잉고하이","2018-06-21 22:40:21","170만원대 거든? 새 상품 210만원대임 노트북 살려고 돈 모으던 중에 생각보다 돈이 많이 모여서 노트북 포기하고 안마의자 사드리까 생각중인데 나 취준생인데 알바해서 모은거임 원래는 부모님 패딩 하나 없어서 사드릴려고 모았는데 노트북 살 돈도 따로 모으고 있었거든 합치면 200정도 나오는데 각?"
