"title","category","author","date","description"
"title","category","author","date","description"
"WOW 관련 사진과 내용이 있어야 합니다. - WOW 갤러리","WOW","운영자","2011-07-25 11:30:10","안녕하세요. 디시인사이드 운영자입니다. WOW와 관련된 사진과 내용이 있어야 합니다. 비방, 욕설, 음란물 등록 시 삭제 및 차단 조치가 되고 민, 형사상의 불이익을 받으실 수 있습니다. 기타 자세한 사항은 갤러리 상단의 갤러리 이용안내를 참고해 주시기 바랍니다. 감사합니다."
"와우 스토리뽕맞아서 시작할려는대 - WOW 갤러리","WOW","우와우","2018-08-23 11:51:06","블소도 스토리 존나 재밋게했는대  와우는 어떰??"
"구~~관조~~ - WOW 갤러리","WOW","도박중독자","2018-08-23 11:36:30","관조~~"
"노무콘이 없으면 고닉을 쓸 이유가 없잖아 - WOW 갤러리","WOW","등화","2018-08-23 11:26:09","탈퇴를 고려"
"야 뭐하나만 물어보자 말퓨리온 죽었음? - WOW 갤러리","WOW","ㅇㅇ","2018-08-23 11:08:05","죽었냐고"
"자괴감 온다 일어나자마자 와우하려니 - WOW 갤러리","WOW","ㅇㅇ","2018-08-23 10:40:23","."
"ㅋㅋㅋㅋㅋㅋ 필라테스사건 ㅈㄴ웃기네 - WOW 갤러리","WOW","ㅇㅇ","2018-08-23 10:36:39","전라도급 금기어 뚱땡이 ㅋㅋㅋ 돼지한테 뚱땡이라고 하면 죽을때까지 달려드는구만"
"오늘 축구 꼭 보자구 ㅋㅋ - WOW 갤러리","WOW","도박중독자","2018-08-23 10:23:43","개꿀잼 예약"
"싱싱한 와린이 받아라 - WOW 갤러리","WOW","dgfR","2018-08-23 10:04:21","워3 많이했고, 돌겜도 오픈부터 지금까지 하는데 와우를 드디어 입문합니다. 게임은 안해도 영화도 보고 소설도 보고 스토리나 시네마틱 영상이며 인게임 영상까지 궁금해서 항상 다챙겨봤는데 이제야 입문하는게 이상하긴 함. (게임하니 알던 지명 알던 몬스터 등 친숙하긴하더라구요 ㅋㅋ) 유사 와우 아이온 5년정도, 이것저것 RPG해봤지만 플레이하는데 생소한게 많기도 하고 다른분들 말대로 완전무결한 뉴비가 느끼기엔 유입인원도 적고 초반부 튜토리얼(?)이나 이런게 옛날게임처럼 불친절하긴 하네요. 그래도 한번 시작하면 끝까지 하는 성격이라 할까말까 고민은 많이해도 하기 시작하면 오래 하는 스타일이라 재밋게 해보려고 합니다. 부스팅도 생각 많이 해봤는데 내가 알았던 놓쳤던 스토리들 정주행 하면서 스킬구성이나 특성 같은것 파악하면서 만렙되었을때 깡통상태가 아닌 1인분은 할 수 있게 하려고 1부터 육성하고있음. 빨리 퇴근하고 하고싶음 ㅋㅋ 와저씨들 잘부탁드림. 갤 눈팅하면서 개념글이나 도움되는글 보고 정보얻고 있으니 감사감사"
"아 왜 새벽부터 비바람 태풍 존나게 안부는건데!!!!! - WOW 갤러리","WOW","지훋","2018-08-23 09:51:55","좆근충 간만에 1패 시킬수있었는데..!!!!"
"밤새면서 묘수풀엇는데 - WOW 갤러리","WOW","기여운트러리","2018-08-23 09:44:00","이씹거 좁같네!!! - dc official App"
"뭐노 왜 내 스피드노무콘 다 사라져ㅠ있노? - WOW 갤러리","WOW","론델","2018-08-23 09:29:30","홍오 좌좀쉐리들의 농간이노?"
"나이트본 진짜 2주면 할수잇겟지? 해금 - WOW 갤러리","WOW","ㅇㅇ","2018-08-23 09:27:01","이제 3일됬다 광광.. .ㅠㅠ 평판 아얘 첨부터 업적도 아예 첨부터 하는중 2주일이면 진짜 가능하겟지.... 존나 열심히 하고있다..."
