"collected_time","url","title","category","author","date","description"
"2018-08-28 15:03:46","http://gall.dcinside.com/board/view/?id=superidea&no=156762&page=1","ㅇㅇㅁㄱㅁㅇ) 헬로, 암  쥐~오~디   초개념 갤러리","초개념","ㅇㅇ","2018 08 28 11:54:01","마 넴 이즈 프레디, 프레디 이즈 쏘 뷰리풀~ 쥐오디님 만나고 왔어ㅎㅎ 스위스 몽트뢰라는 곳인데 프레디머큐리가 매우 사랑했던 동네래 지인이 여긴 너무 좋아서 무조건 마지막에 가야한다고 하기에 속는 셈치고 여행계획 마지막에 넣었지 그러던 중 최후진술 자첫을 했고 프레디 동상이 있다고 해서 관심이 생겼지만 엄청 막 가고싶진 않았어 근데 실제로 가보니 기대한 것 이상으로 정말 아름다운 도시라 완전 반함ㅠㅠㅠ 프레디가 '마음의 평화를 얻으려면 몽트뢰로 가라'고 했다더라 거대한 호숫가 따라서 전부 산책로인데 온갖 꽃이 끝없이 만발해있고 프랑스 문화권이라 분위기도 로맨틱 그 자체 세상 사람들~ 다들 여기는 꼭 가보세요!! 하고 싶을 정도ㅠㅠ 프랑켄 막공도, 최후진술 막공도 극장에선 아니었지만 제네바에서, 몽트뢰에서 마음으로 보내줬다ㅠㅠㅠㅠㅠㅠㅠㅠㅠ ps. 원래 맑고 쨍쨍하다는데 유독 이날 스위스 전역에 구름 천지였고 폰카라 사진이 많이 아쉽게 찍히긴 했지만 어차피 안연뮤니까 '아, 저런 곳이 있구나~' 하는 정도로만 봐줘^^; [원본 갤러리에서 보기]"
"2018-08-28 15:03:46","http://gall.dcinside.com/board/view/?id=superidea&no=156761&page=1","안녕하세요 절미 움짤 놓고 갑니당   초개념 갤러리","초개념","ㅇㅇ","2018 08 28 10:54:01","너무 귀여워서 움짤을 안 만들 수 없었어요.. [원본 갤러리에서 보기]"
"2018-08-28 15:03:46","http://gall.dcinside.com/board/view/?id=superidea&no=156760&page=1","붉은색 스포 이건가 ㅋㅋㅋ   초개념 갤러리","초개념","쌀과자","2018 08 28 10:00:02","※궁예글임 일단 찾다가 귀찮아서 멀리는 안 갔다는 점 븨앱 보고 빨간색 스포 없을까 찾아봤는데 재미있는 걸 발견함ㅋㅋ 리다님 롤러스케이트 븨앱 그땐 롤러스케이트에만 주목했었는데 이제 보니 리다님 반다나 원래 노란색인데 '일부러' 빨간색 빌렸다고 언급함 그리고 같은 븨앱 6분 59초경에 이런 것도 있음 효정: 저희집에 롤러스케이트가 있었거든요 '빨간 색깔~' 빨간색 강조함ㅋㅋ 왠지 꽂혀서 스포스러운 빨간색 더 찾아봄 아린이 리본 지호 손에 들린 빨간색 실 무려 두 장 이때 프옴 내용은  '미라클이 보고싶은 밤 보고싶다아' 근데 그 실 한번 더 등장 심지어 강조까지ㅋㅋ 밈미가 이누야샤 노래 부르다 들킨 날 민망함을 무릅쓰고 방출한 사진에서 빨간 팔찌 마지막으로 능청능청 열매 능력자 위 사진들을 쭉 보면  몽가 한 가지 공통점이 보임 리본 반다나 팔찌... 바로 매듭임 전부 끈을 묶은 거임 붉은 색 매듭 이와 관련해서 익숙하다면 익숙하다고 할 수 있는 이야기가 있음 운명의 붉은 실 꺼라위키 참조하면 더 자세히 나옴 어제 븨앱에서 떠오르는 색을 말해달라 했을 때 밈죠 동시에  딱 한 가지 색이 있긴 한데 너무 직접적이라서 말할 수 없다고 함 이 말은 주제나 가사가 그 색과 관련있고 색깔을 바꿔서는 이야기가 안 된다는 말임 관습적으로 굳어져서 반드시 그 색깔이어야 한다는 뜻 이건 뭐 붉은 실밖에 없지 않나.. 생각함ㅋㅋ 이어질 연인은 반드시 이어진다 remember me도 아마 그런 거겠지 이랬는데 막 붉은 실 아니고 그러면ㅋㅋㅋ [원본 갤러리에서 보기]"
"2018-08-28 15:03:47","http://gall.dcinside.com/board/view/?id=superidea&no=156759&page=1","아무리 절미가 지금 인기가 많아도 개죽이는 월드클래스임    초개념 갤러리","초개념","ㅇㅇ","2018 08 28 10:00:02","단순 인기문제 뿐만 아니라 개죽이가 한 건 하루 아침에 이룰 수가 없는 뭔가가 있음  아무튼 그런 게 있음  [원본 갤러리에서 보기]"
"2018-08-28 15:03:48","http://gall.dcinside.com/board/view/?id=superidea&no=156758&page=1","뚱뚱보 30대 아재의 만두와 노트9와 집밥   초개념 갤러리","초개념","덜지","2018 08 28 10:00:02","야식으로 먹은 만두 렌지 돌렸는데 렌지는 편하지만 맛이 없다... 동생이 사놓은 에델바 이스 맨 두 갠 쟁 맨 두 갤노트 샀다 내 원래폰은 v20임 이번엔 엘지폰이 진짜 잘나왔다고 하지만... 응 그래도 이젠안사~~ 한번만 더사면 내가 사람이 아니야~~ 노트9 사온날 밥임 나머지사진은 비교해보려고 노트로 찍어놔서 수정해서 올려드림 확실히 색감부터 차이가 난다... 삼성폰이 원색적인 색감이 훨씬 강조된 느낌임 내 v20이 원래 색감이 물빠져보이는것도 있긴 한데 카메라 커버 교체하면서 먼지가 좀 낀듯 ㅠ 이번에 액정갈면서 닦으니까 좀 낫더라 색감은 여전하지만... 돼지김치찌개 파김치 넣어서 존맛이엇성 호박잎 엄마가 직접 쪄줌 호박잎이랑 먹은 쌈장 원래 이런색은 아닌데 무슨 젓갈처럼 빨갛게 나왔네... 색감이 너무 과장된것도 좋진 않은듯...ㅠ 아이폰이 사고싶었지만 담시리즈 기다릴 자신도 없고 업무용이니 기타 유틸이랑 쓰기엔 범용성이 너무 안좋아서....ㅠㅠ 다들 즐거운 밤 되시길...^~^♡ [원본 갤러리에서 보기]"
"2018-08-28 15:03:50","http://gall.dcinside.com/board/view/?id=superidea&no=156757&page=1","탱크모드   초개념 갤러리","초개념","6D","2018 08 28 10:00:02","탱크모드 껴있는 5단이상 변신로봇들 특징이 대부분 포신부분이 다리쪽에 있어서 포신이 두개인듯 탱크 머리부분(?)은 좌우 회전 가능하고 포신도 위아래로 가동됩니다 그리고 처음 시도했던 궤도 가동 제법 잘되긴 했는데 금방 약해질거같은 구조라 지금은 못만지겠네요 수인까지 변신시키면 정리해서 한번에 올려볼게요 [원본 갤러리에서 보기]"
"2018-08-28 15:03:51","http://gall.dcinside.com/board/view/?id=superidea&no=156756&page=1","냥장콘 이거 신청할까ㅋㅋㅋㅋ   초개념 갤러리","초개념","백 호","2018 08 28 10:00:02","패대기 현자타임 패왕색의 패기 힘든 묘생사 [원본 갤러리에서 보기]"
"2018-08-28 15:03:51","http://gall.dcinside.com/board/view/?id=superidea&no=156755&page=1","오늘 하루일당 8만원 번 아재의 저녁밥.jpg   초개념 갤러리","초개념","곰부대","2018 08 28 10:00:02","쌀을 불린다 30분정도. 불린쌀을 쎈불에서 10분정도 끓인뒤 물이 끓어오르면 중불로 익힌다 고기는 소금후추로 밑간해둔다 고기가 적어보여서 사진찍은뒤 고기 추가했다. 콩나물. 오늘의 주재료이다 오늘의 메뉴는 콩나물밥. 콩나물은 끓는물에 데쳐서 건진뒤 찬물에 헹궈둔다. 데친 콩나물은 밥이 완성되기 직전에 밥위에 얹어 뜸들이면 된다 양념장. 기호에 맞게 만들면된다 나는 쪽파, 청양고추, 홍고추, 다진마늘을 넣고 설탕약간, 간장듬뿍, 참기름 한큰술을 넣어줬다 고기를 볶는다 대파가없어서 쪽파로 파기름을 냈다. 다진마늘을 넣어줘도 기름의 향이 아주 풍부해진다 여기에 그냥 생고기만 볶아먹어도 맛있다. 완성 깔끔하게 담아보려했으나 쉽지않네 막 비벼서 한입 오늘의 요리끝. [원본 갤러리에서 보기]"
"2018-08-28 15:03:52","http://gall.dcinside.com/board/view/?id=superidea&no=156754&page=1","현재 베트남 상황...jpg   초개념 갤러리","초개념","오승희","2018 08 28 10:00:02",". . . 태극기 흔들고 난리났음ㅋㅋㅋ [원본 갤러리에서 보기]"
"2018-08-28 15:03:53","http://gall.dcinside.com/board/view/?id=superidea&no=156753&page=1","황의조 졸업사진.jpg   초개념 갤러리","초개념","ㅇㅇ","2018 08 28 10:00:01","초등학교 중학교 고등학교 대학교 [원본 갤러리에서 보기]"
